student_id,num_photos
211014850,1
231002467,1
231004095,1
231004160,2
231004206,1
231004224,1
231004285,1
231004345,1
231004387,1
231004419,1
231004431,1
231004567,2
231004649,1
231004713,1
231004727,1
231004747,1
231004779,1
231004836,1
231004918,1
231005027,1
231005073,1
231005333,1
231005400,1
231005430,1
231005501,1
231005601,2
231005689,1
231005711,1
231005756,1
231005789,1
231005820,1
231005837,1
231005865,1
231005898,1
231005915,1
231005936,1
231005940,1
231006012,1
231006127,1
231006131,1
231006154,1
231006272,1
231006309,1
231006335,1
231006359,1
231006367,1
231006417,1
231006502,1
231006507,1
231006511,1
231006563,1
231006572,1
231006574,1
231006586,1
231006601,1
231006613,1
231006688,1
231006695,1
231006760,1
231006766,1
231006798,1
231006804,1
231006822,1
231006825,1
231006844,1
231006856,1
231006879,1
231006900,1
231006901,1
231006916,1
231006928,1
231006950,1
231006982,1
231007895,1
231008132,2
231014002,1
231014025,1
231014067,1
231014083,1
231014166,1
231014184,1
231014241,1
231014259,1
231014324,1
231014333,2
231014342,1
231014373,1
231014395,1
231014449,2
231014457,1
231014462,1
231014466,1
231014539,1
231014590,1
231014599,1
231014647,1
231014666,1
231014670,1
231014691,1
231014744,1
231014755,1
231014761,1
231014763,1
231014770,1
231014783,1
231014786,1
231014849,2
231014860,1
231014972,1
231015004,2
231015037,1
231015069,1
231015218,1
231015291,1
231015308,1
231016666,1
231017969,1
232004221,1
241004978,1
